   X ,   Y ,   Z ,  X0 ,  Y0 ,  Z0 ,   R ,   U ,   V ,   W ,  CN ,  F1 ,  F2 ,  F3
   0.261374E+02 ,   0.713441E+01 ,   0.102769E+01 ,     26.14 ,      7.13 ,      1.03 ,       1.027710 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.954588E-01 ,  -0.321109E+00 ,   0.504719E+00
   0.308071E+02 ,   0.603479E+01 ,   0.974292E+00 ,     30.81 ,      6.03 ,      0.97 ,       0.974300 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   1 ,   0.330367E-14 ,  -0.749892E-16 ,  -0.801869E-03
   0.301632E+02 ,   0.987414E+01 ,   0.123036E+01 ,     30.16 ,      9.87 ,      1.23 ,       1.148788 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.269680E+00 ,   0.199182E+00 ,  -0.577161E-01
   0.347366E+02 ,   0.601827E+01 ,   0.112252E+01 ,     34.74 ,      6.02 ,      1.12 ,       1.122582 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.253178E-01 ,  -0.685005E-01 ,   0.996728E+00
   0.390169E+02 ,   0.435998E+01 ,   0.979666E+00 ,     39.02 ,      4.36 ,      0.98 ,       0.979677 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.293878E+00 ,  -0.153544E+00 ,   0.825300E+00
   0.430649E+02 ,   0.531734E+01 ,   0.105715E+01 ,     43.06 ,      5.32 ,      1.06 ,       1.057163 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   1 ,   0.347255E-14 ,  -0.159658E-15 ,   0.124277E-01
   0.540970E+02 ,   0.799576E+01 ,   0.110822E+01 ,     54.10 ,      8.00 ,      1.11 ,       1.108240 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.446322E+00 ,   0.232404E+00 ,   0.298764E-01
   0.575326E+02 ,   0.125715E+02 ,   0.984979E+00 ,     57.53 ,     12.57 ,      0.98 ,       0.984991 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.149961E+00 ,   0.243844E+00 ,   0.578864E+00
   0.597245E+02 ,   0.696303E+01 ,   0.116136E+01 ,     59.72 ,      6.96 ,      1.16 ,       1.161393 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.150470E+00 ,   0.645578E-01 ,   0.475836E+00
   0.409482E+01 ,   0.564163E+01 ,   0.114234E+01 ,      4.09 ,      5.64 ,      1.14 ,       1.142359 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.438074E+00 ,   0.114628E+00 ,   0.482834E+00
